Month	Balance at Beginning	Balance after Spending	Interest	Balance After Spending
Jan	$0.01	$1300.01	$26.00	$26.01
Feb	$26.01	$1326.01	$26.52	$52.53
Mar	$52.53	$1352.53	$27.05	$79.58
Apr	$79.58	$1379.58	$27.59	$107.17
May	$107.17	$1407.17	$28.14	$135.32
Jun	$135.32	$1435.32	$28.71	$164.02
Jul	$164.02	$1464.02	$29.28	$193.30
Aug	$193.30	$1493.30	$29.87	$223.17
Sep	$223.17	$1523.17	$30.46	$253.63
Oct	$253.63	$1553.63	$31.07	$284.70
Nov	$284.70	$1584.70	$31.69	$316.40
Dec	$316.40	$1616.40	$32.33	$348.73
